Category,Artist,Role,Status,Venue,Date,Video URL,Detail,Definition,QC Pass/Fail
No Preview,Death Lens,opener,reused,Mohawk Outdoor,"Sat, Apr 04",,"Rejected: non-matching channel 'Epitaph Records' with 3,930,000 subscribers",Prior match with high confidence kept. No new search.
No Preview,OLD CROW MEDICINE SHOW,headliner,reused,Neighborhood Theatre,"Sat, Mar 21",,"Rejected: view count 88,675,310 exceeds 50,000,000 cap; video is 19 years old with no channel match",Prior match with high confidence kept. No new search.
No Preview,RARE OF BREED,headliner,reused,Neighborhood Theatre,"Sun, Apr 12",,"Rejected: view count 10,032,843 exceeds 10,000,000 cap",Prior match with high confidence kept. No new search.
No Preview,Marc Broussard,headliner,reused,Neighborhood Theatre,"Sun, Apr 26",,"NEW — Rejected: view count 41,290,431 exceeds 5,000,000 cap",Prior match with high confidence kept. No new search.
No Preview,McKinney’s “Bones” Album Release Show,headliner,filtered,The Orange Peel,"Mon, Mar 23",,No video assigned,"Scraper identified as non-searchable — event name, too short, or invalid format."
No Preview,"No Pressure, Haywire, Secret World",opener,reused,The Orange Peel,"Tue, Mar 24",,Rejected: not found on Spotify + channel mismatch,Prior match with high confidence kept. No new search.
No Preview,Juvenile’s Boiling Point Album Release Tour,headliner,filtered,The Orange Peel,"Sun, Apr 05",,No video assigned,"Scraper identified as non-searchable — event name, too short, or invalid format."
No Preview,The 400 Degreez Band & Special Guests,opener,reused,The Orange Peel,"Sun, Apr 05",,Rejected: not found on Spotify + channel mismatch,Prior match with high confidence kept. No new search.
No Preview,The Emo Night Tour,headliner,reused,The Orange Peel,"Fri, Apr 10",,Rejected: artist name not found in channel or title,Prior match with high confidence kept. No new search.
No Preview,SIREN: Pisces Drag Show and Dance Party,headliner,filtered,The Pinhook,"Sat, Mar 14",,No video assigned,"Scraper identified as non-searchable — event name, too short, or invalid format."
No Preview,Who Run It?! Party,headliner,reused,The Pinhook,"Sat, Mar 21",,"Rejected: view count 58,659,761 exceeds 50,000,000 cap",Prior match with high confidence kept. No new search.
No Preview,Queer Country Night:  ALL Y’ALL led LINE DANCING + some KARAOKE,headliner,filtered,The Pinhook,"Tue, Mar 24",,No video assigned,"Scraper identified as non-searchable — event name, too short, or invalid format."
No Preview,Future Footwerk Dance Party,headliner,filtered,The Pinhook,"Sat, Mar 28",,No video assigned,"Scraper identified as non-searchable — event name, too short, or invalid format."
No Preview,Conjunto Breve / Africa Unplugged,headliner,reused,The Pinhook,"Sun, Mar 29",,Rejected: not found on Spotify + channel mismatch,Prior match with high confidence kept. No new search.
No Preview,blair / Polo Perks / Doris,headliner,reused,The Pinhook,"Thu, Apr 02",,Rejected: not found on Spotify + channel mismatch,Prior match with high confidence kept. No new search.
No Preview,Persimmon / Bangzz / cardigan,headliner,reused,The Pinhook,"Fri, Apr 03",,Rejected: artist name not found in channel or title,Prior match with high confidence kept. No new search.
No Preview,Queer Country Night,headliner,filtered,The Pinhook,"Tue, Apr 07",,No video from scraper,"Scraper identified as non-searchable — event name, too short, or invalid format."
